class,member,classification,reason
Actor,m_OffWireFlip,transient,the owner's pending one-shot intent for the current tick consumed by that tick's frame snapshot
Actor,m_HUDStack,render,HUD layout cursor recomputed every draw
Actor,m_PathRequest,outside,the per-machine async pathfinding request (off-wire AI); a clone issues its own
AHuman,m_PendingDeferredEquips,transient,queued during the AI pass and drained the same tick
AHuman,m_PersistedLimbPathStatesFromFile,reconstructed,load-path bookkeeping consumed on the first update; false on a live clone
AHuman,m_IconBlinkTimer,render,HUD blink timer
AHuman,m_EquipHUDTimer,render,HUD equip-name display timer
ACrab,m_PersistedLimbPathStatesFromFile,reconstructed,load-path bookkeeping consumed on the first update; false on a live clone
ACrab,m_IconBlinkTimer,render,HUD blink timer
ACraft,m_Offset,copied,an Exit member; the Exit list is copied whole in ACraft::Create
ACraft,m_Velocity,copied,an Exit member; the Exit list is copied whole in ACraft::Create
ACraft,m_VelSpread,copied,an Exit member; the Exit list is copied whole in ACraft::Create
ACraft,m_Radius,copied,an Exit member; the Exit list is copied whole in ACraft::Create
ACraft,m_Range,copied,an Exit member; the Exit list is copied whole in ACraft::Create
ACraft,m_Clear,copied,an Exit member; the Exit list is copied whole in ACraft::Create
ACraft,m_pIncomingMO,link,resolved from m_FaithfulIncomingMOUID at link resolution
ACraft,m_FaithfulIncomingMOUID,copied,the faithful carrier of an exit's incoming object
ACraft,m_ReadExitIncomingCursor,transient,reader-only cursor reset by Clear and consumed while reading SavedIncomingUID entries
Arm,m_HandSpriteBitmap,render,bitmap fetched from the hand sprite file
HeldDevice,m_SeenByPlayer,render,per-player unheld-item HUD visibility
HeldDevice,m_BlinkTimer,render,HUD blink timer reset in Update and read only when drawing
HDFirearm,m_HasPlayedEndReloadSound,render,audio cue bookkeeping
Magazine,m_AIAimMaxDistance,outside,declared and only cleared; no reader or copier
AtomGroup,m_Atoms,copied,deep-copied atom by atom in Create
AtomGroup,m_SubGroups,copied,rebuilt from the copied atoms' subgroup ids in Create
AtomGroup,m_OwnerMOSR,link,set by the owning MOSRotating
AtomGroup,m_IgnoreMOIDs,copied,copied element by element in Create
Atom,m_OwnerMO,link,set by the owning group
Atom,m_IgnoreMOIDsByGroup,link,points at the owning group's ignore list
Atom,m_LastHit,transient,last-collision scratch written by Travel before the group reads it in the same step
LimbPath,m_CurrentSegment,copied,carried as the segment index by the traversal pack in Create
LimbPath,m_PathTimer,copied,simulation and real anchors and limits carried by the LP2 pack in faithful Create
LimbPath,m_SegTimer,copied,simulation and real anchors and limits carried by the LP2 pack in faithful Create
LimbPath,m_Ended,copied,carried by the traversal pack in Create
LimbPath,m_JointPos,copied,carried by the LP2 pack in faithful Create
LimbPath,m_JointVel,copied,carried by the LP2 pack in faithful Create
LimbPath,m_Rotation,copied,angle and flips and cached elements carried by the LP2 pack in faithful Create
LimbPath,m_RotationOffset,copied,carried by the LP2 pack in faithful Create
LimbPath,m_PositionOffset,copied,carried by the LP2 pack in faithful Create
Controller,m_ControlledActor,link,set by the actor that owns the controller
Controller,m_NextIgnore,outside,this machine's input-edge latch for sampling; the sim reads only the wire-applied control states
Controller,m_PrevIgnore,outside,this machine's input-edge latch for sampling; the sim reads only the wire-applied control states
Controller,m_WeaponPrimaryHotkeyIgnore,outside,this machine's input-edge latch for sampling; the sim reads only the wire-applied control states
Controller,m_ReleaseTimer,outside,real-time sampling timer of this machine's input
Controller,m_JoyAccelTimer,outside,real-time sampling timer of this machine's input
Controller,m_KeyAccelTimer,outside,real-time sampling timer of this machine's input
Controller,m_MouseMovement,reconstructed,the committed frame re-applies it before any read in the tick
Timer,m_TicksPerMS,reconstructed,derived from TimerMan's tick rate at construction; identical on every timer
PieMenu,m_CurrentPieSlices,reconstructed,repopulated from the quadrants at the end of Create
PieMenu,m_BGBitmap,render,menu background bitmap
PieMenu,m_BGRotationBitmap,render,menu background bitmap
PieMenu,m_BGPieSlicesWithSubPieMenuBitmap,render,menu background bitmap
PieMenu,m_BGBitmapNeedsRedrawing,render,menu background redraw flag
PieMenu,m_BGPieSlicesWithSubPieMenuBitmapNeedsRedrawing,render,menu background redraw flag
PieSlice,m_OriginalSource,link,the entity that added the slice; the quadrant copy and SetOwner re-point it
Actor,m_PendingDeferredWaypoints,transient,queued during the AI pass and drained the same tick
Actor,m_WaypointCursor,outside,the owner AI's lead over the replicated waypoint queue while its pop commands are in flight (per-machine)
